source,target,weight,source_cell_class,source_cell_type,source_hemibrain_type,source_side,target_cell_class,target_cell_type,target_hemibrain_type,target_side
720575940608845525,720575940620382854,18.0,ALPN,VC5_lvPN,VC3m_lvPN,left,Kenyon_Cell,KCab,KCab-s,left
720575940615394719,720575940620382854,24.0,ALPN,VC3_adPN,VC3l_adPN,left,Kenyon_Cell,KCab,KCab-s,left
720575940620437339,720575940620382854,13.0,ALPN,,DM6_adPN,left,Kenyon_Cell,KCab,KCab-s,left
720575940637526190,720575940626524691,24.0,ALPN,,VC1_lPN,left,Kenyon_Cell,,KCg-m,left
720575940625784153,720575940626524691,22.0,ALPN,,VA7l_adPN,left,Kenyon_Cell,,KCg-m,left
720575940611352014,720575940626524691,25.0,ALPN,,VP3+VP1l_ivPN,left,Kenyon_Cell,,KCg-m,left
720575940620068518,720575940626524691,27.0,ALPN,,VA7m_lPN,left,Kenyon_Cell,,KCg-m,left
720575940640032896,720575940626524691,21.0,ALPN,,DM5_lPN,left,Kenyon_Cell,,KCg-m,left
720575940637526190,720575940631106319,19.0,ALPN,,VC1_lPN,left,Kenyon_Cell,,KCg-m,left
720575940625784153,720575940631106319,1.0,ALPN,,VA7l_adPN,left,Kenyon_Cell,,KCg-m,left
720575940623444715,720575940631106319,30.0,ALPN,,VM1_lPN,left,Kenyon_Cell,,KCg-m,left
720575940637009636,720575940631106319,11.0,ALPN,,VA5_lPN,left,Kenyon_Cell,,KCg-m,left
720575940637526190,720575940632925409,23.0,ALPN,,VC1_lPN,left,Kenyon_Cell,,KCg-m,left
720575940608970197,720575940632925409,1.0,ALPN,,DA4l_adPN,left,Kenyon_Cell,,KCg-m,left
720575940619337536,720575940632925409,25.0,ALPN,,VM7v_adPN,left,Kenyon_Cell,,KCg-m,left
720575940620189790,720575940632925409,21.0,ALPN,,VM5v_adPN,left,Kenyon_Cell,,KCg-m,left
720575940630928715,720575940632925409,22.0,ALPN,,DL2d_adPN,left,Kenyon_Cell,,KCg-m,left
720575940619838912,720575940632925409,1.0,ALPN,,VA5_lPN,left,Kenyon_Cell,,KCg-m,left
720575940637526190,720575940634868472,14.0,ALPN,,VC1_lPN,left,Kenyon_Cell,KCapbp-ap1,KCa'b'-ap1,left
720575940611352014,720575940634868472,30.0,ALPN,,VP3+VP1l_ivPN,left,Kenyon_Cell,KCapbp-ap1,KCa'b'-ap1,left
720575940648650884,720575940634868472,13.0,ALPN,,DP1l_adPN,left,Kenyon_Cell,KCapbp-ap1,KCa'b'-ap1,left
720575940637526190,720575940642926628,12.0,ALPN,,VC1_lPN,left,Kenyon_Cell,,KCg-m,left
720575940627844734,720575940642926628,13.0,ALPN,,D_adPN,left,Kenyon_Cell,,KCg-m,left
720575940626937617,720575940642926628,11.0,ALPN,,DA2_lPN,left,Kenyon_Cell,,KCg-m,left
720575940630778428,720575940642926628,10.0,ALPN,,DL3_lPN,left,Kenyon_Cell,,KCg-m,left
720575940633804212,720575940642926628,18.0,ALPN,,D_adPN,left,Kenyon_Cell,,KCg-m,left
720575940640398477,720575940616347916,2.0,ALPN,,VA7m_lPN,left,Kenyon_Cell,KCapbp-ap2,KCa'b'-ap2,left
720575940640398477,720575940627202058,23.0,ALPN,,VA7m_lPN,left,Kenyon_Cell,,KCg-m,left
720575940617207185,720575940627202058,20.0,ALPN,,DL5_adPN,left,Kenyon_Cell,,KCg-m,left
720575940625784153,720575940627202058,17.0,ALPN,,VA7l_adPN,left,Kenyon_Cell,,KCg-m,left
720575940648650884,720575940627202058,1.0,ALPN,,DP1l_adPN,left,Kenyon_Cell,,KCg-m,left
720575940613419695,720575940627202058,1.0,ALPN,,DC3_adPN,left,Kenyon_Cell,,KCg-m,left
720575940627708688,720575940627202058,2.0,ALPN,,DL4_adPN,left,Kenyon_Cell,,KCg-m,left
720575940620068518,720575940627202058,16.0,ALPN,,VA7m_lPN,left,Kenyon_Cell,,KCg-m,left
720575940619385765,720575940627202058,29.0,ALPN,,DA1_lPN,left,Kenyon_Cell,,KCg-m,left
720575940603231916,720575940627202058,1.0,ALPN,,DA1_lPN,left,Kenyon_Cell,,KCg-m,left
720575940640398477,720575940652403446,24.0,ALPN,,VA7m_lPN,left,Kenyon_Cell,,KCg-m,left
720575940613167007,720575940652403446,26.0,ALPN,,VM7d_adPN,left,Kenyon_Cell,,KCg-m,left
720575940625924618,720575940652403446,18.0,ALPN,,DA3_adPN,left,Kenyon_Cell,,KCg-m,left
720575940619838912,720575940652403446,15.0,ALPN,,VA5_lPN,left,Kenyon_Cell,,KCg-m,left
720575940640398477,720575940654129057,6.0,ALPN,,VA7m_lPN,left,Kenyon_Cell,KCapbp-ap1,KCa'b'-ap1,left
720575940616824588,720575940654129057,4.0,ALPN,,DC2_adPN,left,Kenyon_Cell,KCapbp-ap1,KCa'b'-ap1,left
720575940619411147,720575940654129057,14.0,ALPN,,VP1m_l2PN,left,Kenyon_Cell,KCapbp-ap1,KCa'b'-ap1,left
720575940608199748,720575940621728844,1.0,ALPN,VC5_lvPN,VC3m_lvPN,left,Kenyon_Cell,KCapbp-ap2,KCa'b'-ap2,left
720575940615394719,720575940621728844,10.0,ALPN,VC3_adPN,VC3l_adPN,left,Kenyon_Cell,KCapbp-ap2,KCa'b'-ap2,left
720575940613167007,720575940621728844,13.0,ALPN,,VM7d_adPN,left,Kenyon_Cell,KCapbp-ap2,KCa'b'-ap2,left
720575940629097922,720575940621728844,16.0,ALPN,,VA1v_adPN,left,Kenyon_Cell,KCapbp-ap2,KCa'b'-ap2,left
720575940648650884,720575940621728844,16.0,ALPN,,DP1l_adPN,left,Kenyon_Cell,KCapbp-ap2,KCa'b'-ap2,left
720575940608199748,720575940625903626,1.0,ALPN,VC5_lvPN,VC3m_lvPN,left,Kenyon_Cell,,KCab-p,left
720575940608199748,720575940631141699,12.0,ALPN,VC5_lvPN,VC3m_lvPN,left,Kenyon_Cell,KCapbp-ap2,KCa'b'-ap2,left
720575940617207185,720575940631141699,13.0,ALPN,,DL5_adPN,left,Kenyon_Cell,KCapbp-ap2,KCa'b'-ap2,left
720575940627160322,720575940631141699,14.0,ALPN,,DC2_adPN,left,Kenyon_Cell,KCapbp-ap2,KCa'b'-ap2,left
720575940637009636,720575940631141699,1.0,ALPN,,VA5_lPN,left,Kenyon_Cell,KCapbp-ap2,KCa'b'-ap2,left
720575940608199748,720575940631387719,9.0,ALPN,VC5_lvPN,VC3m_lvPN,left,Kenyon_Cell,,KCg-m,left
720575940616824588,720575940631387719,24.0,ALPN,,DC2_adPN,left,Kenyon_Cell,,KCg-m,left
720575940610048981,720575940631387719,24.0,ALPN,,VM3_adPN,left,Kenyon_Cell,,KCg-m,left
720575940620068518,720575940631387719,29.0,ALPN,,VA7m_lPN,left,Kenyon_Cell,,KCg-m,left
720575940638719104,720575940631387719,8.0,ALPN,,DA2_lPN,left,Kenyon_Cell,,KCg-m,left
720575940608199748,720575940635471608,1.0,ALPN,VC5_lvPN,VC3m_lvPN,left,Kenyon_Cell,,KCab-p,left
720575940609454603,720575940636230746,21.0,ALPN,,VC4_adPN,left,Kenyon_Cell,,KCg-m,left
720575940608845525,720575940636230746,14.0,ALPN,VC5_lvPN,VC3m_lvPN,left,Kenyon_Cell,,KCg-m,left
720575940616824588,720575940636230746,19.0,ALPN,,DC2_adPN,left,Kenyon_Cell,,KCg-m,left
720575940616079035,720575940636230746,21.0,ALPN,,DL1_adPN,left,Kenyon_Cell,,KCg-m,left
720575940627708688,720575940636230746,13.0,ALPN,,DL4_adPN,left,Kenyon_Cell,,KCg-m,left
720575940609454603,720575940639188046,1.0,ALPN,,VC4_adPN,left,Kenyon_Cell,KCapbp-m,KCa'b'-m,left
720575940611079236,720575940639188046,5.0,ALPN,,VA2_adPN,left,Kenyon_Cell,KCapbp-m,KCa'b'-m,left
720575940630778428,720575940639188046,5.0,ALPN,,DL3_lPN,left,Kenyon_Cell,KCapbp-m,KCa'b'-m,left
720575940640971995,720575940605559986,13.0,ALPN,,VM4_adPN,left,Kenyon_Cell,,KCg-m,left
720575940626937617,720575940605559986,4.0,ALPN,,DA2_lPN,left,Kenyon_Cell,,KCg-m,left
720575940627708688,720575940605559986,1.0,ALPN,,DL4_adPN,left,Kenyon_Cell,,KCg-m,left
720575940620068518,720575940605559986,6.0,ALPN,,VA7m_lPN,left,Kenyon_Cell,,KCg-m,left
720575940638719104,720575940605559986,4.0,ALPN,,DA2_lPN,left,Kenyon_Cell,,KCg-m,left
720575940640971995,720575940632077081,15.0,ALPN,,VM4_adPN,left,Kenyon_Cell,KCab,KCab-c,left
720575940608845525,720575940632077081,1.0,ALPN,VC5_lvPN,VC3m_lvPN,left,Kenyon_Cell,KCab,KCab-c,left
720575940617207185,720575940632077081,5.0,ALPN,,DL5_adPN,left,Kenyon_Cell,KCab,KCab-c,left
720575940620437339,720575940632077081,19.0,ALPN,,DM6_adPN,left,Kenyon_Cell,KCab,KCab-c,left
720575940635082871,720575940632077081,3.0,ALPN,,VM5d_adPN,left,Kenyon_Cell,KCab,KCab-c,left
720575940622785062,720575940632077081,6.0,ALPN,,DM6_adPN,left,Kenyon_Cell,KCab,KCab-c,left
720575940644258327,720575940632077081,19.0,ALPN,,DM5_lPN,left,Kenyon_Cell,KCab,KCab-c,left
720575940608845525,720575940610823141,26.0,ALPN,VC5_lvPN,VC3m_lvPN,left,Kenyon_Cell,,KCg-m,left
720575940615394719,720575940610823141,21.0,ALPN,VC3_adPN,VC3l_adPN,left,Kenyon_Cell,,KCg-m,left
720575940616079035,720575940610823141,11.0,ALPN,,DL1_adPN,left,Kenyon_Cell,,KCg-m,left
720575940610048981,720575940610823141,16.0,ALPN,,VM3_adPN,left,Kenyon_Cell,,KCg-m,left
720575940614309535,720575940610823141,15.0,ALPN,,DA1_lPN,left,Kenyon_Cell,,KCg-m,left
720575940611372714,720575940610823141,25.0,ALPN,,VM5d_adPN,left,Kenyon_Cell,,KCg-m,left
720575940634939327,720575940610823141,18.0,ALPN,,DC3_adPN,left,Kenyon_Cell,,KCg-m,left
720575940608845525,720575940623260540,1.0,ALPN,VC5_lvPN,VC3m_lvPN,left,Kenyon_Cell,,KCab-p,left
720575940608845525,720575940643977508,22.0,ALPN,VC5_lvPN,VC3m_lvPN,left,Kenyon_Cell,,KCg-m,left
720575940611079236,720575940643977508,18.0,ALPN,,VA2_adPN,left,Kenyon_Cell,,KCg-m,left
720575940619337536,720575940643977508,9.0,ALPN,,VM7v_adPN,left,Kenyon_Cell,,KCg-m,left
720575940626937617,720575940643977508,8.0,ALPN,,DA2_lPN,left,Kenyon_Cell,,KCg-m,left
720575940619411147,720575940643977508,18.0,ALPN,,VP1m_l2PN,left,Kenyon_Cell,,KCg-m,left
720575940627035388,720575940643977508,23.0,ALPN,,VM5d_adPN,left,Kenyon_Cell,,KCg-m,left
720575940608970197,720575940616284955,1.0,ALPN,,DA4l_adPN,left,Kenyon_Cell,,KCg-d,left
720575940608970197,720575940620197658,1.0,ALPN,,DA4l_adPN,left,Kenyon_Cell,,KCg-d,left
720575940646122804,720575940620197658,1.0,ALPN,,DA1_vPN,left,Kenyon_Cell,,KCg-d,left
720575940624863015,720575940620197658,1.0,ALPN,,VL1_vPN,left,Kenyon_Cell,,KCg-d,left
720575940608970197,720575940622879245,3.0,ALPN,,DA4l_adPN,left,Kenyon_Cell,KCapbp-ap2,KCa'b'-ap2,left
720575940616824588,720575940622879245,4.0,ALPN,,DC2_adPN,left,Kenyon_Cell,KCapbp-ap2,KCa'b'-ap2,left
720575940631930828,720575940622879245,1.0,ALPN,,DA4m_adPN,left,Kenyon_Cell,KCapbp-ap2,KCa'b'-ap2,left
720575940619411147,720575940622879245,2.0,ALPN,,VP1m_l2PN,left,Kenyon_Cell,KCapbp-ap2,KCa'b'-ap2,left
720575940637009636,720575940622879245,3.0,ALPN,,VA5_lPN,left,Kenyon_Cell,KCapbp-ap2,KCa'b'-ap2,left
720575940629346103,720575940622879245,1.0,ALPN,"(M_lPNm12,M_lPNm13)b","M_lPNm12,M_lPNm13",left,Kenyon_Cell,KCapbp-ap2,KCa'b'-ap2,left
720575940608970197,720575940623390186,8.0,ALPN,,DA4l_adPN,left,Kenyon_Cell,,KCg-m,left
720575940616824588,720575940623390186,18.0,ALPN,,DC2_adPN,left,Kenyon_Cell,,KCg-m,left
720575940629097922,720575940623390186,15.0,ALPN,,VA1v_adPN,left,Kenyon_Cell,,KCg-m,left
720575940613345442,720575940623390186,19.0,ALPN,,DA1_lPN,left,Kenyon_Cell,,KCg-m,left
720575940620189790,720575940623390186,21.0,ALPN,,VM5v_adPN,left,Kenyon_Cell,,KCg-m,left
720575940608970197,720575940625516436,17.0,ALPN,,DA4l_adPN,left,Kenyon_Cell,,KCg-m,left
720575940648650884,720575940625516436,9.0,ALPN,,DP1l_adPN,left,Kenyon_Cell,,KCg-m,left
720575940608970197,720575940626102628,26.0,ALPN,,DA4l_adPN,left,Kenyon_Cell,,KCg-m,left
720575940616824588,720575940626102628,21.0,ALPN,,DC2_adPN,left,Kenyon_Cell,,KCg-m,left
